"date","product","sku","quantity","unit_type","applied_cost_per_quantity","gross_amount","discount_amount","net_amount","username","organization","repository","workflow_path","cost_center_name"
"2026-01-01","actions","actions_linux","4","minutes","0.006","0.024","0.024","0","RoyalOughtness","secureblue","secureblue",".github/workflows/scorecard.yml",""
"2026-01-01","actions","actions_linux","1","minutes","0.006","0.006","0.006","0","EsseLowNitro","secureblue","secureblue",".github/workflows/justlint.yml",""
"2026-01-01","actions","actions_linux","1","minutes","0.006","0.006","0.006","0","dependabot[bot]","secureblue","trivalent-subresource-filter","dynamic/dependabot/dependabot-updates",""
"2026-01-01","actions","actions_linux","9","minutes","0.006","0.05399999999999999","0.05399999999999999","0","HastD","secureblue","secureblue",".github/workflows/zizmor.yml",""
"2026-01-01","actions","actions_linux","1","minutes","0.006","0.006","0.006","0","RoyalOughtness","secureblue","secureblue",".github/workflows/automod.yml",""
"2026-01-01","actions","actions_linux","1","minutes","0.006","0.006","0.006","0","RoyalOughtness","secureblue","secureblue",".github/workflows/justlint.yml",""
"2026-01-01","actions","actions_linux","7","minutes","0.006","0.041999999999999996","0.041999999999999996","0","HastD","secureblue","secureblue",".github/workflows/tests.yml",""
"2026-01-01","actions","actions_linux","1","minutes","0.006","0.006","0.006","0","dependabot[bot]","secureblue","selinux-policy-rpm","dynamic/dependabot/dependabot-updates",""
"2026-01-01","actions","actions_linux","2","minutes","0.006","0.012","0.012","0","HastD","secureblue","secureblue",".github/workflows/ruff.yml",""
"2026-01-01","actions","actions_linux","1","minutes","0.006","0.006","0.006","0","EsseLowNitro","secureblue","secureblue",".github/workflows/validate_exec_bit.yml",""
"2026-01-01","actions","actions_linux","7","minutes","0.006","0.041999999999999996","0.041999999999999996","0","HastD","secureblue","secureblue",".github/workflows/checksum.yml",""
"2026-01-01","actions","actions_linux","1","minutes","0.006","0.006","0.006","0","RoyalOughtness","secureblue","trivalent-subresource-filter",".github/workflows/rebuild.yml",""
"2026-01-01","actions","actions_linux","2","minutes","0.006","0.012","0.012","0","TheHooly","secureblue","secureblue",".github/workflows/automod.yml",""
"2026-01-01","actions","actions_linux","2","minutes","0.006","0.012","0.012","0","HastD","secureblue","secureblue",".github/workflows/trivy.yml",""
"2026-01-01","actions","actions_linux","19","minutes","0.006","0.114","0.114","0","RoyalOughtness","secureblue","secureblue",".github/workflows/integration_tests.yml",""
"2026-01-01","actions","actions_linux","7","minutes","0.006","0.041999999999999996","0.041999999999999996","0","HastD","secureblue","secureblue",".github/workflows/validate_exec_bit.yml",""
"2026-01-01","actions","actions_linux","1","minutes","0.006","0.006","0.006","0","HastD","secureblue","secureblue",".github/workflows/justlint.yml",""
"2026-01-01","actions","actions_linux","7","minutes","0.006","0.041999999999999996","0.041999999999999996","0","HastD","secureblue","secureblue",".github/workflows/linkspector.yml",""
"2026-01-01","actions","actions_linux","10","minutes","0.006","0.05999999999999999","0.05999999999999999","0","HastD","secureblue","secureblue","dynamic/github-code-scanning/codeql",""
"2026-01-01","actions","actions_linux","689","minutes","0.006","4.134","4.134","0","HastD","secureblue","secureblue",".github/workflows/build-all.yml",""
"2026-01-01","actions","actions_linux","1","minutes","0.006","0.006","0.006","0","dependabot[bot]","secureblue","selinux-policy","dynamic/dependabot/dependabot-updates",""
"2026-01-01","actions","actions_linux","1","minutes","0.006","0.006","0.006","0","dependabot[bot]","secureblue","architecture","dynamic/dependabot/dependabot-updates",""
"2026-01-01","actions","actions_linux","268","minutes","0.006","1.608","1.608","0","HastD","secureblue","secureblue",".github/workflows/pr_build_all_main.yml",""
